Epoch,Train Loss,Validation Loss,Test Loss
1,0.019240498584879806,0.00013338015,0.00013691958
2,0.0001313321430780837,0.00013192926,0.00013524407
3,0.0001338718094937679,0.00012982011,0.00013443136
4,0.00013659834467206274,0.00012718984,0.00013307153
5,0.0001438940716808539,0.00016317444,0.00013960146
6,0.00014524256458005183,0.00019376905,0.00014910719
7,0.00014739231009339423,0.00013244945,0.0001471235
8,0.00013711441660800702,0.00014359194,0.00014705998
9,0.00014000932437824613,0.00014232438,0.00014686247
10,0.00013785165774950073,0.00013940322,0.00014638835
